cutoff,judge_arm,scope,correct,total,accuracy,bootstrap_ci95_low,bootstrap_ci95_high
50,strict,overall,233,500,0.466,0.424,0.51
50,strict,temporal-reasoning,50,133,0.37593984962406013,0.2932330827067669,0.45864661654135336
50,public,overall,247,500,0.494,0.452,0.538
50,public,temporal-reasoning,55,133,0.41353383458646614,0.3308270676691729,0.49624060150375937
200,strict,overall,229,500,0.458,0.414,0.502
200,strict,temporal-reasoning,50,133,0.37593984962406013,0.2932330827067669,0.45864661654135336
200,public,overall,243,500,0.486,0.442,0.53
200,public,temporal-reasoning,51,133,0.38345864661654133,0.3082706766917293,0.46616541353383456
