comparison,judge_arm,scope,n,delta,bootstrap_ci95_low,bootstrap_ci95_high,cutoff
top200_minus_top50,strict,overall,500,-0.008,-0.032,0.016,
top200_minus_top50,strict,temporal-reasoning,133,0,-0.06015037593984962,0.06015037593984962,
top200_minus_top50,public,overall,500,-0.008,-0.036,0.02,
top200_minus_top50,public,temporal-reasoning,133,-0.03007518796992481,-0.09774436090225563,0.03759398496240601,
public_minus_strict,,overall,500,0.028,0.012,0.046,50
public_minus_strict,,temporal-reasoning,133,0.03759398496240601,0.007518796992481203,0.07518796992481203,50
public_minus_strict,,overall,500,0.028,0.012,0.046,200
public_minus_strict,,temporal-reasoning,133,0.007518796992481203,-0.015037593984962405,0.03759398496240601,200
