model,method,benchmark,slice,n,public_evaluated_n,public_correct,public_accuracy,strict_paired_n,strict_paired_accuracy,public_paired_accuracy
qwen3_4b,mempalace,longmemeval,knowledge-update,78,78,51,0.6538461538461539,78,0.5256410256410257,0.6538461538461539
qwen3_4b,mempalace,longmemeval,multi-session,133,133,85,0.6390977443609023,133,0.37593984962406013,0.6390977443609023
qwen3_4b,mempalace,longmemeval,overall,500,500,300,0.6,500,0.354,0.6
qwen3_4b,mempalace,longmemeval,single-session-assistant,56,56,19,0.3392857142857143,56,0.07142857142857142,0.3392857142857143
qwen3_4b,mempalace,longmemeval,single-session-preference,30,30,11,0.36666666666666664,30,0.2,0.36666666666666664
qwen3_4b,mempalace,longmemeval,single-session-user,70,70,64,0.9142857142857143,70,0.6,0.9142857142857143
qwen3_4b,mempalace,longmemeval,temporal-reasoning,133,133,70,0.5263157894736842,133,0.2556390977443609,0.5263157894736842
qwen3_4b,zep_local,locomo,adversarial,446,446,76,0.17040358744394618,446,0.10089686098654709,0.17040358744394618
qwen3_4b,zep_local,locomo,cat1-4,1540,1540,1058,0.687012987012987,1540,0.5448051948051948,0.687012987012987
qwen3_4b,zep_local,locomo,multi-hop,282,282,177,0.6276595744680851,282,0.3333333333333333,0.6276595744680851
qwen3_4b,zep_local,locomo,open-ended,96,96,33,0.34375,96,0.28125,0.34375
qwen3_4b,zep_local,locomo,overall,1986,1986,1134,0.5709969788519638,1986,0.44511581067472306,0.5709969788519638
qwen3_4b,zep_local,locomo,single-hop,841,841,659,0.7835909631391201,841,0.7241379310344828,0.7835909631391201
qwen3_4b,zep_local,locomo,temporal,321,321,189,0.5887850467289719,321,0.3395638629283489,0.5887850467289719
qwen3_4b,zep_local,longmemeval,knowledge-update,78,78,59,0.7564102564102564,78,0.717948717948718,0.7564102564102564
qwen3_4b,zep_local,longmemeval,multi-session,133,133,79,0.5939849624060151,133,0.42105263157894735,0.5939849624060151
qwen3_4b,zep_local,longmemeval,overall,500,500,348,0.696,500,0.582,0.696
qwen3_4b,zep_local,longmemeval,single-session-assistant,56,56,55,0.9821428571428571,56,0.9642857142857143,0.9821428571428571
qwen3_4b,zep_local,longmemeval,single-session-preference,30,30,16,0.5333333333333333,30,0.43333333333333335,0.5333333333333333
qwen3_4b,zep_local,longmemeval,single-session-user,70,70,66,0.9428571428571428,70,0.8714285714285714,0.9428571428571428
qwen3_4b,zep_local,longmemeval,temporal-reasoning,133,133,73,0.5488721804511278,133,0.38345864661654133,0.5488721804511278
