method,probes,requests_mean,requests_min,requests_max,cache_hit_input_tokens_mean,cache_hit_input_tokens_min,cache_hit_input_tokens_max,cache_miss_input_tokens_mean,cache_miss_input_tokens_min,cache_miss_input_tokens_max,output_tokens_mean,output_tokens_min,output_tokens_max,total_tokens_mean,total_tokens_min,total_tokens_max,cost_usd_20_messages_mean,cost_usd_20_messages_min,cost_usd_20_messages_max,cost_usd_per_1k_messages_mean,cost_usd_per_1k_messages_min,cost_usd_per_1k_messages_max,cost_efficiency_vs_zep_local
MemForest,3,21.0,18.0,23.0,0.0,0.0,0.0,22607.0,21499.0,23667.0,3455.6666666666665,3034.0,3866.0,26062.666666666668,24533.0,27533.0,0.004132566666666666,0.00385938,0.00439586,0.20662833333333333,0.192969,0.219793,2.7535912306314883
EverMemOS,3,26.666666666666668,26.0,28.0,512.0,0.0,768.0,27390.666666666668,26350.0,28985.0,3422.0,3205.0,3624.0,31324.666666666668,30323.0,32609.0,0.004794286666666667,0.00458855,0.00507262,0.23971466666666666,0.229428,0.253631,2.3735333584558282
Mem0,3,14.0,13.0,16.0,9173.333333333334,8192.0,11136.0,8954.666666666666,8678.0,9331.0,1360.3333333333333,1193.0,1455.0,19488.333333333332,18063.0,21922.0,0.0016602323333333334,0.001571898,0.001744921,0.08301166666666666,0.078595,0.087246,6.854100540546835
MemoryOS,3,37.333333333333336,36.0,38.0,853.3333333333334,512.0,1152.0,10882.666666666666,8493.0,12928.0,2577.0,1974.0,3114.0,14313.0,10979.0,16938.0,0.002247523,0.001743174,0.002684349,0.11237599999999999,0.087159,0.134217,5.063084708513921
Zep Local,3,144.66666666666666,134.0,157.0,43221.333333333336,41088.0,45568.0,68738.33333333333,63614.0,73840.0,5839.333333333333,5584.0,6245.0,117799.0,110286.0,125653.0,0.011379399333333333,0.010584526,0.01221379,0.56897,0.529226,0.61069,1.0
