method,probes,requests_mean,requests_min,requests_max,cache_hit_input_tokens_mean,cache_hit_input_tokens_min,cache_hit_input_tokens_max,cache_miss_input_tokens_mean,cache_miss_input_tokens_min,cache_miss_input_tokens_max,output_tokens_mean,output_tokens_min,output_tokens_max,total_tokens_mean,total_tokens_min,total_tokens_max,cost_usd_20_messages_mean,cost_usd_20_messages_min,cost_usd_20_messages_max,cost_usd_per_1k_messages_mean,cost_usd_per_1k_messages_min,cost_usd_per_1k_messages_max,cost_efficiency_vs_zep_local
MemForest,3,22.333333333333332,18.0,25.0,15445.333333333334,15232.0,15744.0,7512.666666666667,6229.0,8404.0,3643.6666666666665,3154.0,4054.0,26601.666666666668,24615.0,28202.0,0.0021152470000000002,0.00179783,0.002355763,0.10576200000000001,0.089891,0.117788,5.284091014745164
EverMemOS,3,26.666666666666668,26.0,28.0,3370.6666666666665,3328.0,3456.0,24574.666666666668,23821.0,25699.0,3453.3333333333335,3205.0,3584.0,31398.666666666668,30354.0,32739.0,0.004416824333333333,0.004241658,0.004611057,0.22084133333333333,0.212083,0.230553,2.53058687037059
Mem0,3,14.0,13.0,16.0,13653.333333333334,12672.0,15616.0,4437.666666666667,4178.0,4754.0,1274.3333333333333,1160.0,1439.0,19365.333333333332,18010.0,21594.0,0.0010163163333333333,0.000945202,0.001052005,0.05081566666666667,0.04726,0.0526,10.997715278281138
MemoryOS,3,36.0,34.0,38.0,1877.3333333333333,1280.0,2688.0,8836.0,6552.0,12223.0,2438.3333333333335,1256.0,4021.0,13151.666666666666,9088.0,18932.0,0.0019250296666666665,0.001272544,0.002844626,0.09625133333333334,0.063627,0.142231,5.806226189760886
Zep Local,3,147.66666666666666,142.0,156.0,47658.666666666664,45952.0,49664.0,66767.66666666667,64771.0,69754.0,6058.0,5666.0,6520.0,120484.33333333333,117396.0,125938.0,0.011177157666666666,0.010877188,0.011730219,0.5588576666666666,0.543859,0.586511,1.0
