qid,scope,sessions,session_tree_pairs,fact_tree_assignments,mean_trees_per_session,mean_facts_per_touched_tree,median_facts_per_touched_tree,p95_facts_per_touched_tree,max_facts_per_touched_tree,collision_session_tree_pairs,collision_pair_rate,excess_assignment_rate,session_pairs,session_pairs_with_shared_tree,session_pair_overlap_rate,mean_shared_trees_per_session_pair
28dc39ac,all,38,324,2056,8.526315789473685,6.345679012345679,4.0,22,36,244,0.7530864197530864,0.8424124513618677,703,670,0.9530583214793741,1.271692745376956
28dc39ac,without_global_fallback,38,287,1710,7.552631578947368,5.958188153310105,4,23,36,210,0.7317073170731707,0.8321637426900584,703,118,0.1678520625889047,0.32432432432432434
bc8a6e93,all,48,376,1982,7.833333333333333,5.2712765957446805,2.0,22,53,234,0.6223404255319149,0.8102926337033299,1128,991,0.8785460992907801,1.1657801418439717
bc8a6e93,without_global_fallback,48,331,1624,6.895833333333333,4.906344410876133,2,22,53,193,0.5830815709969789,0.7961822660098522,1128,186,0.16489361702127658,0.28812056737588654
7e00a6cb,all,61,417,1986,6.836065573770492,4.762589928057554,3,17,34,272,0.6522781774580336,0.7900302114803626,1830,1609,0.8792349726775956,1.1081967213114754
7e00a6cb,without_global_fallback,61,360,1594,5.901639344262295,4.427777777777778,2.0,17,34,220,0.6111111111111112,0.7741530740276035,1830,305,0.16666666666666666,0.2360655737704918
aggregate,all,147,1117,6024,7.598639455782313,5.3930170098478065,3,19,53,750,0.6714413607878246,0.8145750332005313,3661,3270,0.8931985796230538,1.1573340617317673
aggregate,without_global_fallback,147,978,4928,6.653061224489796,5.038854805725971,2.0,21,53,623,0.6370143149284253,0.8015422077922078,3661,609,0.16634799235181644,0.2690521715378312
